// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4215D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.629869	-0.595564	-0.343192	-0.361647	-83.742609	-59.666377	-5.316537
34039		0.629933	-0.595490	-0.343296	-0.361557	-83.738506	-59.668145	-5.300857
34040		0.630012	-0.595419	-0.343370	-0.361466	-83.731045	-59.666746	-5.289619
34041		0.630072	-0.595379	-0.343426	-0.361375	-83.729517	-59.663754	-5.276540
34042		0.630125	-0.595365	-0.343464	-0.361270	-83.732737	-59.658031	-5.260780
34043		0.630180	-0.595353	-0.343508	-0.361152	-83.737680	-59.651634	-5.242203
34044		0.630241	-0.595350	-0.343540	-0.361018	-83.743649	-59.642719	-5.222544
34045		0.630300	-0.595344	-0.343585	-0.360883	-83.750464	-59.635008	-5.201167
34046		0.630380	-0.595346	-0.343606	-0.360721	-83.756532	-59.622413	-5.179634
34047		0.630437	-0.595337	-0.343664	-0.360580	-83.764433	-59.615504	-5.155937
34048		0.630506	-0.595332	-0.343693	-0.360441	-83.769337	-59.605776	-5.136632
34049		0.630566	-0.595320	-0.343732	-0.360319	-83.773531	-59.598575	-5.118673
34050		0.630636	-0.595297	-0.343758	-0.360209	-83.772792	-59.591013	-5.105711
34051		0.630722	-0.595243	-0.343797	-0.360110	-83.765309	-59.585600	-5.096623
34052		0.630828	-0.595156	-0.343877	-0.359993	-83.754854	-59.582279	-5.083987
34053		0.630939	-0.595070	-0.343930	-0.359889	-83.740874	-59.577629	-5.076971
34054		0.631016	-0.595006	-0.343975	-0.359816	-83.731019	-59.575078	-5.071369
34055		0.631084	-0.594960	-0.344030	-0.359720	-83.727851	-59.571553	-5.058844
34056		0.631147	-0.594933	-0.344069	-0.359619	-83.727566	-59.566067	-5.045414
