// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.561741	0.431603	-0.460105	0.535228	-2.139890	-78.218122	88.970589
34039		0.561820	0.431545	-0.460102	0.535195	-2.128366	-78.211960	88.949376
34040		0.561909	0.431461	-0.460126	0.535148	-2.127174	-78.206100	88.934209
34041		0.562003	0.431381	-0.460128	0.535112	-2.119808	-78.198292	88.914601
34042		0.562087	0.431333	-0.460075	0.535109	-2.095970	-78.187896	88.885972
34043		0.562047	0.431407	-0.459911	0.535231	-2.062990	-78.177975	88.876015
34044		0.562030	0.431446	-0.459789	0.535324	-2.040733	-78.168879	88.869329
34045		0.561857	0.431615	-0.459576	0.535550	-2.022754	-78.163254	88.896363
34046		0.561821	0.431649	-0.459455	0.535665	-2.012473	-78.153718	88.903679
34047		0.561800	0.431667	-0.459369	0.535746	-2.005482	-78.146399	88.908508
34048		0.561850	0.431610	-0.459354	0.535753	-2.007566	-78.138920	88.905646
34049		0.561891	0.431569	-0.459330	0.535763	-2.004667	-78.132202	88.900058
34050		0.562011	0.431438	-0.459365	0.535713	-2.013264	-78.122634	88.889218
34051		0.562166	0.431282	-0.459417	0.535632	-2.017344	-78.112414	88.867692
34052		0.562274	0.431185	-0.459433	0.535583	-2.013036	-78.104383	88.847899
34053		0.562230	0.431175	-0.459340	0.535717	-2.031241	-78.093186	88.881022
34054		0.562240	0.431177	-0.459239	0.535792	-2.015532	-78.082638	88.874956
34055		0.562084	0.431304	-0.459059	0.536006	-2.013218	-78.076241	88.911683
34056		0.562086	0.431306	-0.459016	0.536040	-2.007082	-78.071772	88.909970
34057		0.561992	0.431348	-0.458913	0.536193	-2.023720	-78.064883	88.949172
34058		0.562074	0.431277	-0.458910	0.536166	-2.017495	-78.057469	88.932756
34059		0.562152	0.431191	-0.458932	0.536136	-2.023694	-78.051012	88.926411
34060		0.562255	0.431106	-0.458964	0.536068	-2.016670	-78.045947	88.902885
34061		0.562117	0.431202	-0.458834	0.536247	-2.026196	-78.041541	88.943622
