// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.316027	0.725916	0.107119	0.601414	97.451013	-53.653395	64.660164
35520		0.315948	0.725892	0.107136	0.601481	97.446161	-53.660678	64.673678
35521		0.315896	0.725894	0.107164	0.601501	97.448560	-53.663067	64.678356
35522		0.315779	0.725923	0.107223	0.601516	97.460055	-53.667433	64.682258
35523		0.315606	0.725954	0.107334	0.601550	97.474248	-53.672633	64.692844
35524		0.315362	0.725965	0.107510	0.601634	97.485928	-53.679952	64.717812
35525		0.315212	0.725989	0.107614	0.601665	97.497777	-53.683930	64.728036
35526		0.315087	0.725977	0.107697	0.601730	97.499030	-53.689171	64.745097
35527		0.314994	0.725961	0.107720	0.601794	97.496721	-53.696756	64.757763
35528		0.314875	0.725944	0.107775	0.601866	97.495702	-53.704194	64.774138
35529		0.314822	0.725920	0.107798	0.601920	97.490493	-53.708530	64.786198
35530		0.314683	0.725914	0.107902	0.601981	97.493972	-53.713004	64.803857
35531		0.314615	0.725926	0.107967	0.601990	97.500145	-53.713198	64.809225
35532		0.314497	0.725941	0.108033	0.602022	97.507978	-53.717824	64.817431
35533		0.314405	0.725973	0.108058	0.602027	97.519039	-53.722612	64.816787
35534		0.314246	0.725977	0.108103	0.602096	97.524149	-53.733554	64.829845
35535		0.314178	0.725967	0.108042	0.602155	97.520948	-53.745796	64.834262
35536		0.314069	0.725950	0.107998	0.602240	97.516879	-53.760699	64.844695
35537		0.314002	0.725940	0.107922	0.602302	97.513107	-53.774203	64.848380
35538		0.313884	0.725921	0.107895	0.602390	97.509320	-53.788537	64.860755
